"ID";"WijkenEnBuurten";"Gemeentenaam_1";"SoortRegio_2";"Codering_3";"IndelingswijzigingWijkenEnBuurten_4";"AantalInwoners_5";"Mannen_6";"Vrouwen_7";"k_0Tot15Jaar_8";"k_15Tot25Jaar_9";"k_25Tot45Jaar_10";"k_45Tot65Jaar_11";"k_65JaarOfOuder_12";"Ongehuwd_13";"Gehuwd_14";"Gescheiden_15";"Verweduwd_16";"WestersTotaal_17";"NietWestersTotaal_18";"Marokko_19";"NederlandseAntillenEnAruba_20";"Suriname_21";"Turkije_22";"OverigNietWesters_23";"GeboorteTotaal_24";"GeboorteRelatief_25";"SterfteTotaal_26";"SterfteRelatief_27";"HuishoudensTotaal_28";"Eenpersoonshuishoudens_29";"HuishoudensZonderKinderen_30";"HuishoudensMetKinderen_31";"GemiddeldeHuishoudensgrootte_32";"Bevolkingsdichtheid_33";"Woningvoorraad_34";"GemiddeldeWoningwaarde_35";"PercentageEengezinswoning_36";"PercentageMeergezinswoning_37";"PercentageBewoond_38";"PercentageOnbewoond_39";"Koopwoningen_40";"HuurwoningenTotaal_41";"InBezitWoningcorporatie_42";"InBezitOverigeVerhuurders_43";"EigendomOnbekend_44";"BouwjaarVoor2000_45";"BouwjaarVanaf2000_46";"GemiddeldElektriciteitsverbruikTotaal_47";"Appartement_48";"Tussenwoning_49";"Hoekwoning_50";"TweeOnderEenKapWoning_51";"VrijstaandeWoning_52";"Huurwoning_53";"EigenWoning_54";"GemiddeldAardgasverbruikTotaal_55";"Appartement_56";"Tussenwoning_57";"Hoekwoning_58";"TweeOnderEenKapWoning_59";"VrijstaandeWoning_60";"Huurwoning_61";"EigenWoning_62";"PercentageWoningenMetStadsverwarming_63";"AantalInkomensontvangers_64";"GemiddeldInkomenPerInkomensontvanger_65";"GemiddeldInkomenPerInwoner_66";"k_40PersonenMetLaagsteInkomen_67";"k_20PersonenMetHoogsteInkomen_68";"Actieven1575Jaar_69";"k_40HuishoudensMetLaagsteInkomen_70";"k_20HuishoudensMetHoogsteInkomen_71";"HuishoudensMetEenLaagInkomen_72";"HuishOnderOfRondSociaalMinimum_73";"PersonenPerSoortUitkeringBijstand_74";"PersonenPerSoortUitkeringAO_75";"PersonenPerSoortUitkeringWW_76";"PersonenPerSoortUitkeringAOW_77";"BedrijfsvestigingenTotaal_78";"ALandbouwBosbouwEnVisserij_79";"BFNijverheidEnEnergie_80";"GIHandelEnHoreca_81";"HJVervoerInformatieEnCommunicatie_82";"KLFinancieleDienstenOnroerendGoed_83";"MNZakelijkeDienstverlening_84";"RUCultuurRecreatieOverigeDiensten_85";"PersonenautoSTotaal_86";"PersonenautoSJongerDan6Jaar_87";"PersonenautoS6JaarEnOuder_88";"PersonenautoSBrandstofBenzine_89";"PersonenautoSOverigeBrandstof_90";"PersonenautoSPerHuishouden_91";"PersonenautoSNaarOppervlakte_92";"Bedrijfsmotorvoertuigen_93";"Motorfietsen_94";"AfstandTotHuisartsenpraktijk_95";"AfstandTotGroteSupermarkt_96";"AfstandTotKinderdagverblijf_97";"AfstandTotSchool_98";"ScholenBinnen3Km_99";"OppervlakteTotaal_100";"OppervlakteLand_101";"OppervlakteWater_102";"MeestVoorkomendePostcode_103";"Dekkingspercentage_104";"MateVanStedelijkheid_105";"Omgevingsadressendichtheid_106";"TotaalDiefstalUitWoningSchuurED_107";"VernielingMisdrijfTegenOpenbareOrde_108";"GeweldsEnSeksueleMisdrijven_109"
"5705";"GM0518    ";"'s-Gravenhage                           ";"Gemeente  ";"GM0518    ";".";"  519988";"  257042";"  262946";"   91563";"   62989";"  160168";"  132008";"   73260";"  288806";"  160777";"   49920";"   20485";"   88381";"  181938";"   30540";"   12527";"   46695";"   39097";"   53079";"    6809";"      13";"    4271";"       8";"  255785";"  121379";"   54597";"   79809";"     2.0";"    6288";"  253210";"     188";"      21";"      79";"      91";"       9";"      42";"      55";"      31";"      25";"       3";"      85";"      15";"    2460";"    2170";"    3390";"    3680";"    4410";"    5090";"    2120";"    2910";"    1080";"    1050";"    1190";"    1370";"    1390";"    2070";"     970";"    1260";"     8.8";"  386100";"    32.3";"    24.9";"    41.5";"    20.8";"    56.8";"    49.1";"    16.8";"    13.7";"    12.7";"   27590";"   23340";"   12270";"   70650";"   46785";"    1555";"    7865";"    9160";"    3800";"    3660";"   14035";"    6710";"  179615";"   54905";"  124710";"  150075";"   29540";"     0.7";"    2172";"   17225";"   10180";"     0.5";"     0.5";"     0.4";"     0.5";"    35.4";"    9813";"    8269";"    1544";"         .";"       .";"       1";"    4794";"       5";"       7";"       9"
"5706";"WK051801  ";"'s-Gravenhage                           ";"Wijk      ";"WK051801  ";"1";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       .";"       .";"       2";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       0";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       0";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       0";"       0";"       0";"       0";"       0";"       .";"       .";"       0";"       0";"       .";"       .";"       .";"       .";"       .";"     318";"     308";"      10";"         .";"       .";"       4";"     651";"";"";""
"5707";"BU05180170";"'s-Gravenhage                           ";"Buurt     ";"BU05180170";"1";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       .";"       .";"       2";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       0";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       0";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       0";"       0";"       0";"       0";"       0";"       .";"       .";"       0";"       0";"       .";"       .";"       .";"       .";"       .";"     318";"     308";"      10";"      2597";"       4";"       4";"     651";"";"";""
"5708";"WK051802  ";"'s-Gravenhage                           ";"Wijk      ";"WK051802  ";"1";"    8055";"    3980";"    4075";"    1210";"    1185";"    1815";"    2265";"    1580";"    4195";"    2810";"     665";"     390";"    1905";"     865";"      75";"      80";"     150";"      35";"     520";"      65";"       8";"      85";"      11";"    4180";"    2140";"     990";"    1055";"     1.9";"    7892";"    4102";"     298";"      20";"      80";"      85";"      15";"      58";"      40";"      12";"      28";"       2";"      99";"       1";"    2720";"    2380";"    3830";"    4280";"    5190";"    5230";"    2210";"    3030";"    1450";"    1230";"    2060";"    2740";"    2700";"    3590";"    1240";"    1570";"       .";"    5900";"    43.7";"    34.3";"    36.7";"    33.0";"    55.3";"    40.1";"    27.8";"     6.4";"     6.5";"     110";"     240";"     150";"    1530";"     970";"       5";"      55";"     240";"      70";"     160";"     340";"     105";"    3085";"     985";"    2100";"    2615";"     470";"     0.7";"    3023";"     180";"     205";"     0.8";"     0.5";"     0.4";"     0.5";"    10.4";"     102";"     102";"       0";"         .";"       .";"       2";"    2469";"       3";"      11";"       8"
"5709";"BU05180271";"'s-Gravenhage                           ";"Buurt     ";"BU05180271";"1";"    8055";"    3980";"    4075";"    1210";"    1185";"    1815";"    2265";"    1580";"    4195";"    2810";"     665";"     390";"    1905";"     865";"      75";"      80";"     150";"      35";"     520";"      65";"       8";"      85";"      11";"    4180";"    2140";"     990";"    1055";"     1.9";"    7892";"    4102";"     298";"      20";"      80";"      85";"      15";"      58";"      40";"      12";"      28";"       2";"      99";"       1";"    2720";"    2380";"    3830";"    4280";"    5190";"    5230";"    2210";"    3030";"    1450";"    1230";"    2060";"    2740";"    2700";"    3590";"    1240";"    1570";"       .";"    5900";"    43.7";"    34.3";"    36.7";"    33.0";"    55.3";"    40.1";"    27.8";"     6.4";"     6.5";"     110";"     240";"     150";"    1530";"     970";"       5";"      55";"     240";"      70";"     160";"     340";"     105";"    3085";"     985";"    2100";"    2615";"     470";"     0.7";"    3023";"     180";"     205";"     0.8";"     0.5";"     0.4";"     0.5";"    10.4";"     102";"     102";"       0";"      2587";"       2";"       2";"    2469";"       3";"      11";"       8"
"5710";"WK051803  ";"'s-Gravenhage                           ";"Wijk      ";"WK051803  ";"1";"    1865";"     840";"    1025";"     240";"     165";"     240";"     510";"     715";"     665";"     825";"     185";"     200";"     525";"     145";"       0";"      10";"      10";"       0";"     125";"       5";"       3";"      45";"      25";"     875";"     385";"     280";"     215";"     2.0";"    1089";"    1254";"     574";"      30";"      70";"      68";"      32";"      53";"      28";"       4";"      23";"      20";"      99";"       1";"    3530";"    2880";"    3750";"    4660";"    5110";"    5810";"    2710";"    3910";"    2140";"    1530";"    2430";"    2840";"    3480";"    4790";"    1680";"    2390";"       .";"    1300";"    67.7";"    51.4";"    30.4";"    45.4";"    44.5";"    24.5";"    44.9";"     6.7";"     7.7";"      10";"      40";"      20";"     690";"     235";"       0";"      10";"      20";"      10";"      50";"     130";"      20";"    1010";"     340";"     670";"     855";"     155";"     1.1";"     587";"      25";"      45";"     1.1";"     1.4";"     1.0";"     0.6";"    16.3";"     179";"     172";"       8";"         .";"       .";"       2";"    1708";"      11";"      15";"       4"
"5711";"BU05180373";"'s-Gravenhage                           ";"Buurt     ";"BU05180373";"1";"     815";"     355";"     455";"      95";"      65";"     100";"     195";"     365";"     275";"     370";"      80";"      95";"     210";"      75";"       0";"       5";"       5";"       0";"      65";"       0";"       2";"      20";"      27";"     410";"     200";"     145";"      75";"     1.9";"    1974";"     640";"     558";"      20";"      80";"      60";"      40";"      47";"      32";"       8";"      23";"      21";"      98";"       2";"    3250";"    2740";"    4000";"    5030";"    5630";"    5760";"    2420";"    3560";"    1970";"    1530";"    2590";"    3280";"    3850";"    5010";"    1510";"    2090";"       .";"     600";"    63.2";"    49.2";"    32.2";"    44.7";"    38.2";"    28.8";"    44.8";"     8.2";"    10.8";"       0";"      20";"      10";"     350";"     110";"       0";"       5";"      10";"       5";"      20";"      65";"       5";"     445";"     170";"     275";"     365";"      80";"     1.1";"    1078";"      10";"      10";"     0.8";"     1.3";"     0.9";"     0.8";"    18.4";"      46";"      41";"       5";"      2597";"       4";"       2";"    2432";"       9";"      18";"       7"
"5712";"BU05180374";"'s-Gravenhage                           ";"Buurt     ";"BU05180374";"1";"    1050";"     480";"     570";"     150";"     100";"     140";"     315";"     350";"     390";"     455";"     105";"     105";"     310";"      65";"       0";"       5";"       5";"       0";"      60";"       0";"       3";"      25";"      24";"     465";"     190";"     140";"     140";"     2.1";"     809";"     614";"     589";"      41";"      59";"      75";"      25";"      59";"      23";"       0";"      23";"      18";"      99";"       1";"    3780";"    3050";"    3570";"    4440";"    4980";"    5820";"    2990";"    4190";"    2300";"    1540";"    2340";"    2690";"    3390";"    4750";"    1870";"    2610";"       .";"     700";"    71.3";"    53.1";"    28.9";"    46.1";"    49.1";"    20.8";"    45.0";"     5.3";"     4.9";"      10";"      20";"      10";"     330";"     125";"       0";"       5";"      15";"       5";"      25";"      65";"      15";"     565";"     170";"     395";"     490";"      70";"     1.2";"     432";"      10";"      30";"     1.4";"     1.5";"     1.1";"     0.4";"    14.7";"     133";"     130";"       3";"      2597";"       1";"       3";"    1128";"      12";"      12";"       1"
"5713";"WK051804  ";"'s-Gravenhage                           ";"Wijk      ";"WK051804  ";"1";"   13395";"    6200";"    7195";"    2460";"     965";"    2985";"    3410";"    3585";"    5950";"    5370";"    1015";"    1070";"    3720";"    1465";"      25";"      95";"     115";"      40";"    1185";"     150";"      11";"     245";"      18";"    6455";"    2940";"    1700";"    1820";"     2.0";"    4991";"    7380";"     378";"      29";"      71";"      83";"      17";"      64";"      28";"       1";"      27";"       7";"      98";"       2";"    2910";"    2500";"    3980";"    4370";"    5550";"    5690";"    2610";"    3200";"    1880";"    1580";"    2390";"    3130";"    3580";"    4720";"    1730";"    2000";"       .";"    9400";"    64.7";"    47.8";"    22.5";"    51.1";"    59.9";"    19.9";"    44.8";"     3.5";"     3.1";"      40";"     170";"     140";"    3460";"    1695";"       0";"      55";"     215";"     110";"     275";"     825";"     215";"    5930";"    1800";"    4125";"    5080";"     845";"     0.9";"    2209";"     135";"     200";"     0.7";"     0.6";"     0.5";"     0.6";"    15.6";"     274";"     268";"       6";"         .";"       .";"       2";"    2045";"       6";"       5";"       2"
"5714";"BU05180448";"'s-Gravenhage                           ";"Buurt     ";"BU05180448";"1";"    1535";"     740";"     795";"     285";"     130";"     395";"     420";"     305";"     720";"     670";"      90";"      60";"     470";"     195";"       5";"       5";"      20";"       5";"     155";"      15";"      12";"       5";"       6";"     735";"     315";"     210";"     215";"     2.1";"    5401";"     728";"     467";"      45";"      55";"      86";"      14";"      65";"      34";"       1";"      33";"       1";"     100";"       0";"    3110";"    2170";"    4290";"    4530";"       .";"       .";"    2220";"    3590";"    2120";"    1690";"    2590";"    3220";"       .";"       .";"    1580";"    2350";"       .";"    1100";"    80.5";"    58.3";"    24.5";"    51.2";"    60.0";"    22.3";"    48.2";"     4.5";"     4.1";"      10";"      20";"      20";"     300";"     445";"       0";"      10";"      60";"      30";"      75";"     215";"      60";"     710";"     240";"     470";"     565";"     145";"     1.0";"    2492";"      15";"      25";"     0.4";"     0.3";"     0.2";"     0.5";"    21.8";"      29";"      28";"       0";"      2596";"       1";"       1";"    3197";"       3";"       5";"       5"
